name,region,lat,lon,tags
거창 황금원숭이마을,경상남도,35.7496778653,127.818542887,"관광,문화"
거창 황산리 신씨고가,경상남도,35.7629155826,127.8370186747,"관광,문화"
거창 황산마을 옛 담장,경상남도,35.763168337,127.8373158638,"관광,문화"
거창가남마을,경상남도,35.6883301231,128.0221793172,"관광,문화"
거창은행나무길,경상남도,35.7157308865,127.927875797,"관광,자연"
거창창포원,경상남도,35.6549990841,127.9395930601,"관광,자연"
거창향교,경상남도,35.6929441479,127.9037785388,"관광,문화"
건계정,경상남도,35.6926715144,127.8790001805,"관광,문화"
건등저수지,강원특별자치도,37.3145518522,127.8363198797,"관광,자연"
건지마을,충청북도,37.0198551194,127.9781628362,"관광,문화"
건천편백나무숲,경상북도,35.8330414673,129.0774268954,"관광,자연"
건청궁,서울특별시,37.5760836609,126.9767375783,"관광,문화"
건평항,인천광역시,37.6799835388,126.3990846816,"관광,자연"
걸시오름,제주특별자치도,33.4118342447,126.5060849817,"관광,자연"
걸포중앙공원,경기도,37.6386715536,126.7064132635,"관광,문화"
검계서원,충청남도,36.7479758981,127.0900947887,"관광,문화"
검룡소 (강원고생대 국가지질공원),강원특별자치도,37.2306100727,128.935454166,"관광,자연"
검성지생태공원,경상북도,36.1148893102,128.438108617,"관광,자연"
검암서원,충청북도,36.5788983496,127.5715339648,"관광,문화"
검은낭,인천광역시,37.8427720065,124.7082252086,"관광,자연"
것대산,충청북도,36.6461789265,127.5383906289,"관광,자연"
격포마을,전북특별자치도,35.6210191572,126.4700854705,"관광,문화"
견훤산성,경상북도,36.5756268834,127.8993602813,"관광,문화"
결성동헌,충청남도,36.5240393726,126.5451110316,"관광,문화"
결성향교,충청남도,36.5289137789,126.5431610786,"관광,문화"
겸면목화공원,전라남도,35.2513590882,127.1730490909,"관광,문화"
겸천서원,전라남도,35.0812434783,127.249507776,"관광,문화"
경광서원,경상북도,36.6005191001,128.682292582,"관광,문화"
경극고택,대구광역시,35.9074757619,128.6866758144,"관광,문화"
경기도 민물고기 생태학습관,경기도,37.5120142625,127.6395680582,"관광,자연"
경기도국민안전체험관,경기도,37.1784896342,127.0627464898,"관광,문화"
